material,location,available_date,quantity
21098519,0386,2025-12-23,417
21121751,0386,2025-12-23,1232
21128067,0386,2025-12-20,3794
21139445,0386,2025-12-22,1736
21143102,0386,2025-12-19,1900
21143103,0386,2025-12-22,609
21143110,0386,2025-12-22,1100
21165868,0386,2025-12-22,656
21165946,0386,2025-12-21,1220
21165946,0386,2025-12-22,1205
21170683,0386,2025-12-21,1950
21291975,0386,2025-12-19,3252
21301637,0386,2025-12-19,9202
21307836,0386,2025-12-22,753
21357021,0386,2025-12-19,13056
21366842,0386,2025-12-20,5352
21376841,0386,2025-12-19,15996
21377091,0386,2025-12-22,3357
21377091,0386,2025-12-23,6464
21414747,0386,2025-12-23,5420
21416910,0386,2025-12-19,5394
21416910,0386,2025-12-20,5402
21419490,0386,2025-12-22,6231
21425098,0386,2025-12-20,366
21428668,0386,2025-12-21,6231
21442422,0386,2025-12-20,10190
21463645,0386,2025-12-23,1874
80804133,0386,2025-12-27,2517
80804134,0386,2025-12-27,1810
80805856,0386,2025-12-24,1339
80807089,0386,2025-12-23,2515
80807090,0386,2025-12-24,1043
80807093,0386,2025-12-25,2130
80807097,0386,2025-12-25,983
80807105,0386,2025-12-26,2746
80807110,0386,2025-12-25,1594
80807112,0386,2025-12-26,2534
80807117,0386,2025-12-25,680
80812099,0386,2025-12-26,338
80812103,0386,2025-12-25,332
80812154,0386,2025-12-24,1370
80812839,0386,2025-12-25,2404
80812840,0386,2025-12-24,725
80812840,0386,2025-12-25,2774
80812841,0386,2025-12-25,744
80812841,0386,2025-12-26,3103
80812846,0386,2025-12-25,2532
80851898,0386,2025-12-24,3985
80864470,0386,2025-12-27,654
80884846,0386,2025-12-27,673
80884852,0386,2025-12-24,952
