transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
8078436901|C816|D767|2025-10-06|net demand for normal|000021_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8078436901,C816,D767,2025-10-07,2025-10-10,30,8078436901|C816|D767|2025-10-06|net demand for normal|000021,20251007-C816-D767-SMALL-#1
80784369|C816|D767|2025-10-06|net demand for normal|000013_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784369,C816,D767,2025-10-07,2025-10-11,355,80784369|C816|D767|2025-10-06|net demand for normal|000013,20251007-C816-D767-SMALL-#1
80784376|C816|D767|2025-10-06|net demand for normal|000036_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784376,C816,D767,2025-10-07,2025-10-10,934,80784376|C816|D767|2025-10-06|net demand for normal|000036,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-07|net demand for normal|000076_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,3,80784368|C816|D767|2025-10-07|net demand for normal|000076,20251007-C816-D767-SMALL-#1
8078436901|C816|D767|2025-10-07|net demand for normal|000095_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8078436901,C816,D767,2025-10-07,2025-10-10,27,8078436901|C816|D767|2025-10-07|net demand for normal|000095,20251007-C816-D767-SMALL-#1
80784369|C816|D767|2025-10-07|net demand for normal|000083_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784369,C816,D767,2025-10-07,2025-10-10,266,80784369|C816|D767|2025-10-07|net demand for normal|000083,20251007-C816-D767-SMALL-#1
80784376|C816|D767|2025-10-07|net demand for normal|000113_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784376,C816,D767,2025-10-07,2025-10-10,678,80784376|C816|D767|2025-10-07|net demand for normal|000113,20251007-C816-D767-SMALL-#1
80786340|C816|D767|2025-10-07|net demand for normal|000116_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80786340,C816,D767,2025-10-07,2025-10-10,122,80786340|C816|D767|2025-10-07|net demand for normal|000116,20251007-C816-D767-SMALL-#1
8079964701|C816|D767|2025-10-07|net demand for normal|000145_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8079964701,C816,D767,2025-10-07,2025-10-10,1,8079964701|C816|D767|2025-10-07|net demand for normal|000145,20251007-C816-D767-SMALL-#1
8078436901|C816|D767|2025-10-06|net demand for AO|000020_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8078436901,C816,D767,2025-10-07,2025-10-10,21,8078436901|C816|D767|2025-10-06|net demand for AO|000020,20251007-C816-D767-SMALL-#1
80784369|C816|D767|2025-10-06|net demand for AO|000012_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784369,C816,D767,2025-10-07,2025-10-10,21,80784369|C816|D767|2025-10-06|net demand for AO|000012,20251007-C816-D767-SMALL-#1
80784376|C816|D767|2025-10-06|net demand for AO|000035_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784376,C816,D767,2025-10-07,2025-10-11,49,80784376|C816|D767|2025-10-06|net demand for AO|000035,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-07|net demand for AO|000066_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,1,80784368|C816|D767|2025-10-07|net demand for AO|000066,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-07|net demand for AO|000067_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,1,80784368|C816|D767|2025-10-07|net demand for AO|000067,20251007-C816-D767-SMALL-#1
8078436901|C816|D767|2025-10-07|net demand for AO|000093_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8078436901,C816,D767,2025-10-07,2025-10-10,19,8078436901|C816|D767|2025-10-07|net demand for AO|000093,20251007-C816-D767-SMALL-#1
8078436901|C816|D767|2025-10-07|net demand for AO|000094_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8078436901,C816,D767,2025-10-07,2025-10-10,21,8078436901|C816|D767|2025-10-07|net demand for AO|000094,20251007-C816-D767-SMALL-#1
80784369|C816|D767|2025-10-07|net demand for AO|000081_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784369,C816,D767,2025-10-07,2025-10-10,16,80784369|C816|D767|2025-10-07|net demand for AO|000081,20251007-C816-D767-SMALL-#1
80784369|C816|D767|2025-10-07|net demand for AO|000082_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784369,C816,D767,2025-10-07,2025-10-10,18,80784369|C816|D767|2025-10-07|net demand for AO|000082,20251007-C816-D767-SMALL-#1
80784376|C816|D767|2025-10-07|net demand for AO|000111_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784376,C816,D767,2025-10-07,2025-10-10,36,80784376|C816|D767|2025-10-07|net demand for AO|000111,20251007-C816-D767-SMALL-#1
80784376|C816|D767|2025-10-07|net demand for AO|000112_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784376,C816,D767,2025-10-07,2025-10-10,39,80784376|C816|D767|2025-10-07|net demand for AO|000112,20251007-C816-D767-SMALL-#1
80786340|C816|D767|2025-10-07|net demand for AO|000114_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80786340,C816,D767,2025-10-07,2025-10-10,29,80786340|C816|D767|2025-10-07|net demand for AO|000114,20251007-C816-D767-SMALL-#1
80786340|C816|D767|2025-10-07|net demand for AO|000115_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80786340,C816,D767,2025-10-07,2025-10-10,32,80786340|C816|D767|2025-10-07|net demand for AO|000115,20251007-C816-D767-SMALL-#1
8079964701|C816|D767|2025-10-07|net demand for AO|000143_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8079964701,C816,D767,2025-10-07,2025-10-10,2,8079964701|C816|D767|2025-10-07|net demand for AO|000143,20251007-C816-D767-SMALL-#1
8079964701|C816|D767|2025-10-07|net demand for AO|000144_transit_20251007-C816-D767-SMALL-#1,2025-10-08,8079964701,C816,D767,2025-10-07,2025-10-10,2,8079964701|C816|D767|2025-10-07|net demand for AO|000144,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-06|net demand for forecast|000001_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,3,80784368|C816|D767|2025-10-06|net demand for forecast|000001,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-06|net demand for forecast|000002_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,12,80784368|C816|D767|2025-10-06|net demand for forecast|000002,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-06|net demand for forecast|000003_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,14,80784368|C816|D767|2025-10-06|net demand for forecast|000003,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-06|net demand for forecast|000004_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,15,80784368|C816|D767|2025-10-06|net demand for forecast|000004,20251007-C816-D767-SMALL-#1
80784368|C816|D767|2025-10-06|net demand for forecast|000005_transit_20251007-C816-D767-SMALL-#1,2025-10-08,80784368,C816,D767,2025-10-07,2025-10-10,15,80784368|C816|D767|2025-10-06|net demand for forecast|000005,20251007-C816-D767-SMALL-#1
