material,location,available_date,quantity
21143102,0386,2025-12-28,950
21291975,0386,2025-12-28,1626
21301637,0386,2025-12-28,4601
21357021,0386,2025-12-28,3340
21366842,0386,2025-12-28,2676
21376841,0386,2025-12-28,7974
21416910,0386,2025-12-28,2702
80805856,0386,2026-01-02,1347
80807089,0386,2026-01-01,2515
80812154,0386,2026-01-02,1347
80812839,0386,2026-01-03,2373
80812840,0386,2026-01-02,727
80812840,0386,2026-01-03,2778
80812841,0386,2026-01-03,743
80812841,0386,2026-01-04,3157
80851898,0386,2026-01-02,3968
